date,observer,species morpho,Species ID,species code,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control,notes
2024-06-20,"NH, CW, CA, AT",yarrow,achilla millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",hairy dan,dantonia californica,dancal,3,,,,2,,16,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",eleochris sp,eleochris sp,elesp,24,16,6,1,34,44,45,2,5,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,erythranthe primuloides,erypri,,,16,,,3,1,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",helicopter plant,,,,1,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,oxalis corniculata,oxacor,,,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,potentilla gracilis,potgra,,2,1,2,,1,3,7,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",probably viola,,,2,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,sidalcea oregana,sidore,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",single leaf strong vein,,,,,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,trifolium longipes,trilon,3,1,6,1,14,,3,4,3,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",two teardrop thick sprout,,,,2,,,,6,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,viola adunca,vioadu,2,,,,3,6,,2,2,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",white based soft grass,,,1,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Hairy Dan,Dantonia californica,dancal,3,,,,4,,27,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Unidentifed rush,Eleocharis sp,elesp,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",,Epilobium ciliatum,epicil,,,,,,1,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Opposite oval sprout,Erythranthe primuloides,erypri,,,16,,1,3,1,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Lung liverwort,Marchantia polymorpha ,marpol,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,1,,,1,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Palmate sprout,Potentilla gracilis,potgra,,2,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Two leaf veiny dark sprout,Sidalcea oregana,sidore,,,,2,,1,3,7,,,,,,,,,,,,,
2024-06-24,"NH, AT",Small Clover ,Trifolium longipes,trilon,4,1,7,1,14,,5,4,3,,,,,,,,,,,,
2024-06-24,"NH, AT",Three leaf sprout,Viola adunca,vioadu,4,,,,3,6,,2,2,,,,,,,,,,,,
2024-06-24,"NH, AT",Heart shaped leaf sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Helicopter plant,,,1,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",liverwort/fuzzy lobed,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Long flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Maidenhair fern ,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Single leaf strong vein,,,2,,,1,1,,1,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Thick green sprout,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",thin flat grass,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Two teardrop thick sprout ,,,,1,,,,7,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",White based soft grass ,,,1,,,,2,,3,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Branching Long leaf ,,,,,,,,,1,,,,,,,,,,,,,,
2024-06-24,"NH, AT",General Grass,,,25,20,8,1,34,44,19,5,6,,,,,,,,,,,,
2024-06-27,"CA, AT",yarrow,Achillea millefolium,achmil,,1?,,1,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Hairy Dan,Dantonia californica,dancal,3,,1,,4,,28,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Unidentifed rush,Eleocharis sp,elesp,,,,,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",,Epilobium ciliatum,epicil,,,,,,1,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Opposite oval sprout,Erythranthe primuloides,erypri,,,16,,1,3,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Flat Rush ,Juncus ensifolius,junens,,,,,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Lung liverwort,Marchantia polymorpha ,marpol,,,,,,,1,,,,,,,,,,,,,,
2024-06-27,"CA, AT",,Noccaeae fendleri,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-06-27,"CA, AT",Two round leaved sprout w/ clover,Oxalis corniculata,oxacor,,,,2,,,,,,,,,,,,,,,,,
